"Date","Price","Open","High","Low","Change %"
"Oct 16, 2019","14,169.0","14,175.0","14,194.0","14,165.0","0.03%"
"Oct 15, 2019","14,165.0","14,135.0","14,170.0","14,135.0","0.18%"
"Oct 14, 2019","14,139.0","14,114.0","14,139.0","14,112.0","0.08%"
"Oct 11, 2019","14,128.0","14,125.0","14,155.0","14,125.0","-0.17%"
"Oct 10, 2019","14,151.5","14,171.5","14,181.5","14,131.5","-0.13%"
"Oct 09, 2019","14,170.0","14,165.0","14,185.0","14,165.0","0.11%"
"Oct 08, 2019","14,155.0","14,175.0","14,180.0","14,135.0","-0.05%"
"Oct 07, 2019","14,162.5","14,137.5","14,167.5","14,137.5","0.19%"
"Oct 04, 2019","14,135.0","14,150.0","14,150.0","14,115.0","-0.26%"
"Oct 03, 2019","14,172.5","14,192.5","14,197.5","14,167.5","-0.16%"
"Oct 02, 2019","14,195.0","14,215.0","14,215.0","14,185.0","-0.12%"
"Oct 01, 2019","14,212.5","14,182.5","14,222.5","14,182.5","0.12%"
"Sep 30, 2019","14,195.0","14,155.0","14,195.0","14,155.0","0.21%"
"Sep 27, 2019","14,165.0","14,185.0","14,200.0","14,165.0","-0.09%"
"Sep 26, 2019","14,177.5","14,147.5","14,177.5","14,145.5","0.19%"
"Sep 25, 2019","14,150.0","14,120.0","14,155.0","14,120.0","0.27%"
"Sep 24, 2019","14,112.5","14,077.5","14,112.5","14,077.5","0.20%"
"Sep 23, 2019","14,085.0","14,070.0","14,090.0","14,065.0","0.21%"
"Sep 20, 2019","14,055.0","14,090.0","14,090.0","14,055.0","-0.04%"
"Sep 19, 2019","14,060.0","14,075.0","14,104.0","14,060.0","0.00%"
"Sep 18, 2019","14,060.0","14,075.0","14,090.0","14,060.0","-0.25%"
"Sep 17, 2019","14,095.0","14,060.0","14,110.0","14,060.0","0.39%"
"Sep 16, 2019","14,040.0","13,980.0","14,055.0","13,975.0","0.54%"
"Sep 13, 2019","13,965.0","13,935.0","13,975.0","13,905.0","-0.18%"
"Sep 12, 2019","13,990.0","14,045.0","14,055.0","13,985.0","-0.50%"
"Sep 11, 2019","14,060.0","14,055.0","14,070.0","14,050.0","0.07%"
"Sep 10, 2019","14,050.0","14,035.0","14,055.0","14,025.0","0.14%"
"Sep 09, 2019","14,031.0","14,086.0","14,096.0","14,026.0","-0.45%"
"Sep 06, 2019","14,095.0","14,135.0","14,150.0","14,085.0","-0.39%"
"Sep 05, 2019","14,150.0","14,155.0","14,165.0","14,142.0","-0.02%"
